#fixingDate,fixingId,fixingValue
2015-05-18,USD-LIBOR-6M,0.0041425000
2015-05-19,USD-LIBOR-6M,0.0041550000
2015-05-20,USD-LIBOR-6M,0.0041700000
2015-05-21,USD-LIBOR-6M,0.0041815000
2015-05-22,USD-LIBOR-6M,0.0041865000
2015-05-26,USD-LIBOR-6M,0.0042500000
2015-05-27,USD-LIBOR-6M,0.0042305000
2015-05-28,USD-LIBOR-6M,0.0042315000
2015-05-29,USD-LIBOR-6M,0.0042465000
2015-06-01,USD-LIBOR-6M,0.0042365000
2015-06-02,USD-LIBOR-6M,0.0042190000
2015-06-03,USD-LIBOR-6M,0.0042040000
2015-06-04,USD-LIBOR-6M,0.0042185000
2015-06-05,USD-LIBOR-6M,0.0042390000
2015-06-08,USD-LIBOR-6M,0.0043340000
2015-06-09,USD-LIBOR-6M,0.0043795000
2015-06-10,USD-LIBOR-6M,0.0044155000
2015-06-11,USD-LIBOR-6M,0.0044480000
2015-06-12,USD-LIBOR-6M,0.0044840000
2015-06-15,USD-LIBOR-6M,0.0044985000
2015-06-16,USD-LIBOR-6M,0.0045185000
2015-06-17,USD-LIBOR-6M,0.0045205000
2015-06-18,USD-LIBOR-6M,0.0044340000
2015-06-19,USD-LIBOR-6M,0.0044365000
2015-06-22,USD-LIBOR-6M,0.0044405000
2015-06-23,USD-LIBOR-6M,0.0044380000
2015-06-24,USD-LIBOR-6M,0.0044680000
2015-06-25,USD-LIBOR-6M,0.0044705000
2015-06-26,USD-LIBOR-6M,0.0044640000
2015-06-29,USD-LIBOR-6M,0.0044285000
2015-06-30,USD-LIBOR-6M,0.0044485000
2015-07-01,USD-LIBOR-6M,0.0044835000
2015-07-02,USD-LIBOR-6M,0.0045470000
2015-07-03,USD-LIBOR-6M,0.0044800000
2015-07-06,USD-LIBOR-6M,0.0044470000
2015-07-07,USD-LIBOR-6M,0.0044445000
2015-07-08,USD-LIBOR-6M,0.0044590000
2015-07-09,USD-LIBOR-6M,0.0044990000
2015-07-10,USD-LIBOR-6M,0.0045400000
2015-07-13,USD-LIBOR-6M,0.0046340000
2015-07-14,USD-LIBOR-6M,0.0046345000
2015-07-15,USD-LIBOR-6M,0.0046195000
2015-07-16,USD-LIBOR-6M,0.0045570000
2015-07-17,USD-LIBOR-6M,0.0046020000
2015-07-20,USD-LIBOR-6M,0.0046470000
2015-07-21,USD-LIBOR-6M,0.0047070000
2015-07-22,USD-LIBOR-6M,0.0046745000
2015-07-23,USD-LIBOR-6M,0.0046995000
2015-07-24,USD-LIBOR-6M,0.0046970000
2015-07-27,USD-LIBOR-6M,0.0046895000
2015-07-28,USD-LIBOR-6M,0.0047365000
2015-07-29,USD-LIBOR-6M,0.0047465000
2015-07-30,USD-LIBOR-6M,0.0047990000
2015-07-31,USD-LIBOR-6M,0.0048990000
2015-08-03,USD-LIBOR-6M,0.0048760000
2015-08-04,USD-LIBOR-6M,0.0048585000
2015-08-05,USD-LIBOR-6M,0.0050375000
2015-08-06,USD-LIBOR-6M,0.0050910000
2015-08-07,USD-LIBOR-6M,0.0051005000
2015-08-10,USD-LIBOR-6M,0.0051970000
2015-08-11,USD-LIBOR-6M,0.0051830000
2015-08-12,USD-LIBOR-6M,0.0050850000
2015-08-13,USD-LIBOR-6M,0.0051860000
2015-08-14,USD-LIBOR-6M,0.0052490000
2015-08-17,USD-LIBOR-6M,0.0052980000
2015-08-18,USD-LIBOR-6M,0.0052930000
2015-08-19,USD-LIBOR-6M,0.0053405000
2015-08-20,USD-LIBOR-6M,0.0053280000
2015-08-21,USD-LIBOR-6M,0.0052980000
2015-08-24,USD-LIBOR-6M,0.0052455000
2015-08-25,USD-LIBOR-6M,0.0052280000
2015-08-26,USD-LIBOR-6M,0.0052850000
2015-08-27,USD-LIBOR-6M,0.0053500000
2015-08-28,USD-LIBOR-6M,0.0053425000
2015-09-01,USD-LIBOR-6M,0.0054275000
2015-09-02,USD-LIBOR-6M,0.0053925000
2015-09-03,USD-LIBOR-6M,0.0053900000
2015-09-04,USD-LIBOR-6M,0.0053750000
2015-09-07,USD-LIBOR-6M,0.0054175000
2015-09-08,USD-LIBOR-6M,0.0053800000
2015-09-09,USD-LIBOR-6M,0.0053900000
2015-09-10,USD-LIBOR-6M,0.0054050000
2015-09-11,USD-LIBOR-6M,0.0054070000
2015-09-14,USD-LIBOR-6M,0.0054175000
2015-09-15,USD-LIBOR-6M,0.0054000000
2015-09-16,USD-LIBOR-6M,0.0054950000
2015-09-17,USD-LIBOR-6M,0.0055450000
2015-09-18,USD-LIBOR-6M,0.0052640000
2015-09-21,USD-LIBOR-6M,0.0052550000
2015-09-22,USD-LIBOR-6M,0.0052725000
2015-09-23,USD-LIBOR-6M,0.0052680000
2015-09-24,USD-LIBOR-6M,0.0052975000
2015-09-25,USD-LIBOR-6M,0.0053610000
2015-09-28,USD-LIBOR-6M,0.0053310000
2015-09-29,USD-LIBOR-6M,0.0053460000
2015-09-30,USD-LIBOR-6M,0.0053400000
2015-10-01,USD-LIBOR-6M,0.0053100000
2015-10-02,USD-LIBOR-6M,0.0053450000
2015-10-05,USD-LIBOR-6M,0.0052325000
2015-10-06,USD-LIBOR-6M,0.0052500000
2015-10-07,USD-LIBOR-6M,0.0052660000
2015-10-08,USD-LIBOR-6M,0.0052660000
2015-10-09,USD-LIBOR-6M,0.0052825000
2015-10-12,USD-LIBOR-6M,0.0052625000
2015-10-13,USD-LIBOR-6M,0.0052450000
2015-10-14,USD-LIBOR-6M,0.0052015000
2015-10-15,USD-LIBOR-6M,0.0051590000
2015-10-16,USD-LIBOR-6M,0.0051840000
2015-10-19,USD-LIBOR-6M,0.0051790000
2015-10-20,USD-LIBOR-6M,0.0052440000
2015-10-21,USD-LIBOR-6M,0.0052690000
2015-10-22,USD-LIBOR-6M,0.0052840000
2015-10-23,USD-LIBOR-6M,0.0052690000
2015-10-26,USD-LIBOR-6M,0.0053165000
2015-10-27,USD-LIBOR-6M,0.0053465000
2015-10-28,USD-LIBOR-6M,0.0053365000
2015-10-29,USD-LIBOR-6M,0.0054890000
2015-10-30,USD-LIBOR-6M,0.0055165000
2015-11-02,USD-LIBOR-6M,0.0055615000
2015-11-03,USD-LIBOR-6M,0.0055740000
2015-11-04,USD-LIBOR-6M,0.0056065000
2015-11-05,USD-LIBOR-6M,0.0057070000
2015-11-06,USD-LIBOR-6M,0.0057080000
2015-11-09,USD-LIBOR-6M,0.0059500000
